Id,Verified,Followers,Region
LibertatemFirst,false,1348,Pennsylvania
jthcivic,false,546,California
Local24CaitlinM,true,796,Tennessee
SethyScott,false,74,Florida
xchristinalynnx,false,110,Iowa
JamesW_NC,false,1761,
thescrewreview,false,996,New York
1mmaStatistic,false,23,
DDbuyer,false,183,
xdaisy_mae,false,245,
mirandadevine,true,90767,New York
justmetmc,false,3127,Arizona
Memphis_Grit,false,231,Tennessee
GreenwoodLynn,false,96,Ohio
justlookingha,false,3155,Michigan
dgarcia2823,false,293,Texas
KVUE,true,218519,Texas
nottherealdeal8,false,92,Michigan
will_show2020,false,1947,Alabama
Hoodyshit1981,false,997,Pennsylvania
PSuiteNetwork,false,3070,
John_3_11,false,374,
BrileyWright9,false,924,Kentucky
Nikolo007,false,3896,
kristen_m_welch,false,196,New York
DamonMPA,false,659,Pennsylvania
KateEMontgomery,false,338,Massachusetts
AllenJWilson,false,2274,California
JamesJo16343311,false,3430,Ohio
lori_tech,false,43610,
SU_ISPL,false,1710,New York
smj32111,false,1414,
littlelisala,false,2003,New York
SammiG0203,false,5027,Virginia
LegendaryMKC,false,1188,Georgia
SamChen220,false,491,
Jamiemills924,false,147,Oklahoma
richiecastaldo,true,8338,Oklahoma
MatthewTyrmand,true,55475,
jade25801418,false,6631,
denmarcduo,false,93,Florida
blew_bonnie,false,414,Texas
ClastonB,false,19992,Louisiana
clafleur87,false,1309,Louisiana
JoanieDee44,false,9530,New Jersey
MikeHarwell66,false,2286,Oklahoma
jostonjustice,false,3530,District of Columbia
some1elsesmom2,false,17241,
bobcullen12,false,44,Florida
AshleyResistNC,false,2644,North Carolina
Wolfmeis,false,95,Washington
MattChelap,false,393,Georgia
mkjpeters,false,932,Virginia
IndivisibleCRIA,false,1706,Iowa
PatrickJDoody,false,1426,California
1pd28,false,1691,
Blowe48,false,1276,Florida
Chefmt22,false,53,
FarlandLinda,false,210,Florida
_prince_6,false,645,Tennessee
IceShelvesAndAC,false,240,Ohio
WordsOnIce,false,2077,
_asyan,false,1030,Georgia
Deborah40695678,false,648,Nevada
Amber_305,false,10247,Florida
LaEliCuna,false,743,New Mexico
4ChangingTides,false,4717,New York
marymorrtamu85,false,632,Texas
organicannmom,false,5233,
_Zachary_Daniel,false,320,Arizona
jrossr59,false,66,Texas
dbryant2038,false,42,Florida
AlexOsiadacz,false,1543,Florida
nate04377997,false,16,
custom_baseball,false,122,
SixxHolliday,false,17,Florida
bright8694,false,16260,Georgia
anastasialee090,false,18907,Georgia
Rixckydude,false,1626,Pennsylvania
Highland0371,false,376,Massachusetts
NINA202000,false,123,
DanVForbes,false,56325,Texas
Acrice4747,false,1820,New Jersey
ginsbergcenter,false,1890,
Egyptianstyle11,false,3675,New York
MME_SCOTTSDALE,false,3637,Arizona
JesseStokes813,false,75,District of Columbia
rparham,false,1537,Texas
boysek,false,2723,
RealWAgem,false,1,District of Columbia
impulsivewoman,false,13997,New York
YouGovAmerica,false,26025,New York
MatthewLasko,false,276,New York
tmabaker,false,1739,Louisiana
Aikens_Josh,false,25389,
NALEO,true,32295,
Zombieshoot,false,641,
tara_minnich,false,610,
GenzianaJust,false,1383,Florida
RoseGardenNEWS,false,196,Nevada
HoodResearch,false,413,Michigan
lori_clydesdale,false,5092,California
frankjcatanzaro,false,362,Missouri
NewsLinksNet,false,8435,
Rowdygirlinmt,false,14967,Montana
Jilliandance,false,4958,California
JodyWeitzman,false,1906,Connecticut
reviewjournal,true,266767,Nevada
ScottSaxman1,false,16053,Virginia
ObiWanTerhuni,false,5,Wisconsin
HalloweenBlogs,false,4971,California
sjbjgb2017,false,2925,Texas
kwrabs,false,202,Pennsylvania
beccagturner,false,328,South Carolina
Nativ3Digital,false,1538,
BikeandT,false,22,New York
Dublindan7The,false,16382,California
OaklandVoices,false,3132,California
troothbtoad,false,1765,
jenmdixon,false,322,Virginia
carlogarcia_16,false,1246,Texas
MattBruno00,false,765,Kentucky
Cozy1950,false,534,Nebraska
heyitsbradw,false,16,California
HalfenDHS,false,557,Texas
kids_josette,false,472,
ltlgcoach,false,30335,Texas
EbethWhitney,false,123,Massachusetts
