Source,Target,Time
shaninphxaz,aneetahd,1604310206000
TexanAlliKat,scotlithvaian,1603673355000
publius2k,redistrict,1603997766000
ericajonez,chroniclezpdcst,1602978834000
CheetahPizzas,postpolitics,1603809127000
ToursNiche,delphiretirees,1601524585000
dmraci,usatoday,1601106695000
droseseest,joecollins43rd,1601269972000
MatthewVeasey,realdonaldtrump,1601447925000
ScharaTonya,baldingsworld,1603522727000
MagnificentOne_,georgesoros,1600360848000
lisachahn,johncarneyde,1601564770000
LisaWNC1,marcorubio,1603835963000
CMartinezClass,cpraction,1604098765000
TexasVoterGuide,,1601621520000
Rikkisch,ktnv,1601334498000
jennysue62,warroom2020,1603829240000
NKassheimer,adjunctprofesor,1596434349000
latigbo,realdonaldtrump,1600066851000
astste,tom_paints,1602878937000
MannerofItes,william010203,1603782773000
Atheen_,danscavino,1604297951000
AndrewSenyk,andrewsenyk,1603908724000
JohnLibertyUSA,realdonaldtrump,1601750848000
AndrewSenyk,vzladream,1603908724000
StappElizabeth,jessebwatters,1601349090000
customrogue,dancrenshawtx,1603922100000
WhatTheFukBitch,timkennedymma,1600152137000
5HERM4N5,federalreserve,1602869827000
cwpounder,realdonaldtrump,1602918858000
Patrick_Small86,,1604348855000
TeresaZebra4445,davidwebbshow,1604100262000
cupcake93065,iwv,1604092426000
alirlozano,txcivilrights,1603844692000
prieto1973,lgbtqnation,1604070885000
RCR13Q,realerincruz,1600295952000
travis_mulligan,realdonaldtrump,1600063123000
spiritwolf50,nickbryantny,1601758685000
missb62,govsisolak,1599979648000
basili_debra,timkennedymma,1600101901000
monica_sassy,gigiscik,1603769550000
bdbsport,,1603947885000
bobbordone,cogwbur,1601478534000
tazmac55,victoensing,1600388705000
SethCL,"",1602861352000
SWCUCC,johncdorhauer,1600304465000
Dorothyshw,joebiden,1604038800000
Kika1369,wjmcginley,1603826985000
D20DemsIdaho,rudy4congress,1596572017000
BugsyBanks,joebiden's,1604116425000
Charms77,guardianus,1604015182000
MichaelSlate195,therevcoms,1596446317000
FrankSchiraldi,victoensing,1600363653000
liberrygirl65,rudy4congress,1596691338000
clasen16,,1601775508000
idiotic_t,realdonaldtrump,1600108794000
_ACHP,zekeemanuel,1603853797000
explorelife,beckieavery4,1601094735000
McguireScotty,cindyprousa,1604355401000
BlozikJohn,ouchinagirl,1603120509000
JoanieDee44,realdonaldtrump,1600064731000
1Chance2020,36cresist,1601113253000
RedwineSueinFL,drnealhouston,1602981653000
deen9600,tarekfatah,1603722403000
wxlin30,joebiden,1600160626000
ARod8675,ncscgov,1603941618000
sandysva,american_bridge,1603935107000
MichaelJMally1,nikkihaley,1603601138000
MikeH5856,sarahkendzior,1604305641000
curiousgeorgita,realdonaldtrump,1604004183000
LizzDregne,housegop,1600194111000
MichiganAdvance,realdonaldtrump,1603842545000
paullywogprod,wsj,1601704261000
travis_byers,timkennedymma,1600138619000
FletcherSchool,byheatherlong,1601441702000
MeyersMusings,npr,1596673288000
zacharyaharper,realdonaldtrump,1600151173000
AltruismAmber,alyssa_milano,1603587242000
LizzDregne,gopleader,1600194111000
bellport_phys,,1603930096000
dgarcia2823,realdonaldtrump,1601779028000
MicahDee14,foxnews,1600370336000
justdeplorible,anc168,1603049662000
BlackWomensBP,majellamark,1601279845000
Kemosaabi1,joebiden,1604108488000
ressiger1111,warroom2020,1603574506000
Shiftyone2,pasreport,1604103833000
jbb305,,1601617936000
