Id,Verified,Followers,Region
goldtoochunky,false,354,Texas
KyivCassandra,false,135,
LindseyGrahamSC,true,1881249,
NohAdam9,false,1,
wxlin30,false,361,Illinois
Mistah_Gr3y,false,227,Maryland
Eviethekid,false,3851,New Jersey
Detcookieman74,false,1517,California
KsKM3,false,2383,Massachusetts
AlyssaSolazzo,false,11,California
spaikin,true,102631,
SalbarreyResis1,false,5441,Florida
superkeith4,false,848,Texas
RaeMargaret61,false,33826,Wisconsin
htmldon,false,1476,Tennessee
Katie_Sims13,false,319,Pennsylvania
jdennisfootball,false,161,South Carolina
D20DemsIdaho,false,343,
AmandaFrameAARP,false,54,Washington
bonitab17,false,290,Tennessee
aquavet25,false,49,Florida
ALCCobras,false,118,California
CenterforCSPAN,false,1429,
WakeUpKnut,false,16,California
CamCox12,true,5935,Arizona
apharmtech,false,2958,North Carolina
Azoomazoomazoom,false,1,Washington
magicdancer49,false,11588,Florida
CMartinezClass,false,1195,New York
geoff_bernz,false,25678,
ressiger1111,false,13174,
Buaidh_BhoysHH,false,2329,New York
MN2APatriot357,false,3410,Minnesota
greggieboyLRG,false,687,New York
ColoradoGirl2A,false,76666,
BigTomCollins,false,73,Virginia
karenmiller777,false,242,Florida
jcarole,false,4854,California
tenajd,false,3464,
amber_steady,false,284,Florida
jdacorsi,false,72,Oregon
TodayFranklin,false,51,District of Columbia
OHDems,true,37043,Ohio
EagleMt,false,18776,Texas
amcarmela2,false,519,Texas
cj35937043,false,2230,Texas
tehsilentcircus,false,140,Wisconsin
HopewellES,false,1336,
GlenSmi70330487,false,14,Georgia
maga4trumpUSA,false,13354,Florida
Tance2000,false,566,Florida
naazneenbarma,false,1527,Colorado
StevenHanson_TM,false,326,California
mizzzckball,false,113,Nevada
DCCarrie,false,206,Tennessee
ogredon1,false,525,Florida
SweetMothersBu1,false,27,Kentucky
PatArnold42,false,1336,Florida
GoldsteinEman,false,296,
Mooo2u2,false,1101,
zacharyaharper,false,282,Washington
Qmarksthespot,false,322,
GaryForPrez2020,false,9,
agimcorp,false,21233,
NewConstructs,false,3150,Tennessee
countryboy28,false,91,Kentucky
Bullet96087287,false,2175,California
Cori__Paige,false,1088,
tridentjohn,false,300,
MannerofItes,false,68,Washington
MatthewVeasey,false,11455,Pennsylvania
Zmannn21,false,29,Florida
sherryhanna53,false,1458,Ohio
drknite22,false,211,
ciesaro,false,1799,Ohio
InvestingHomies,false,47,California
elangran,false,334,
drjackrasmus,false,1602,California
papiche29,false,285,
justthefactx,false,297,
Geoflausa,false,1169,
